                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.78422,                0.58854,                 1.0661,                0.96403,                0.96404,                0.98272,                0.81268,                0.69253,                0.36955,                 1.0346,               0.003268,               0.003268,               0.003268
                     37,                0.77774,                0.58022,                 1.0666,                0.96462,                0.96226,                0.98225,                0.81515,                0.68583,                0.36524,                 1.0321,                0.00307,                0.00307,                0.00307
                     38,                0.77002,                0.57504,                 1.0615,                 0.9676,                0.96205,                0.98281,                0.81426,                0.68513,                 0.3669,                 1.0305,               0.002872,               0.002872,               0.002872
                     39,                0.76998,                0.56828,                 1.0591,                0.96886,                0.96081,                0.98355,                0.81599,                0.68492,                0.36146,                  1.031,               0.002674,               0.002674,               0.002674
                     40,                0.75673,                0.55955,                 1.0539,                0.96135,                0.96807,                0.98326,                0.81628,                0.68413,                 0.3575,                 1.0306,               0.002476,               0.002476,               0.002476
                     41,                0.75286,                  0.553,                 1.0525,                  0.967,                 0.9667,                 0.9847,                0.81793,                0.68151,                0.35462,                 1.0297,               0.002278,               0.002278,               0.002278
                     42,                0.74551,                0.54625,                 1.0462,                0.96339,                0.96871,                0.98353,                0.82022,                0.67829,                0.35082,                 1.0279,                0.00208,                0.00208,                0.00208
                     43,                0.73812,                0.53677,                 1.0441,                0.96774,                 0.9711,                0.98457,                0.82135,                0.67917,                0.34871,                  1.028,               0.001882,               0.001882,               0.001882
                     44,                0.73548,                0.53624,                  1.042,                0.96786,                 0.9713,                0.98534,                0.82255,                0.67585,                0.34692,                 1.0262,               0.001684,               0.001684,               0.001684
                     45,                0.72878,                0.52691,                 1.0407,                0.96738,                0.96844,                0.98537,                0.82517,                0.67003,                0.34527,                 1.0228,               0.001486,               0.001486,               0.001486
                     46,                0.72824,                 0.5199,                 1.0379,                 0.9684,                0.96884,                0.98607,                0.82546,                0.66801,                0.34451,                 1.0216,               0.001288,               0.001288,               0.001288
                     47,                0.72153,                0.51638,                 1.0327,                 0.9681,                0.96511,                0.98609,                0.82703,                0.66595,                0.34274,                 1.0201,                0.00109,                0.00109,                0.00109
                     48,                0.71187,                0.50875,                 1.0286,                 0.9735,                0.96225,                 0.9865,                0.82744,                0.66332,                  0.342,                 1.0185,               0.000892,               0.000892,               0.000892
                     49,                 0.7064,                0.50205,                 1.0262,                0.97285,                0.96267,                0.98642,                0.82922,                0.66224,                0.34082,                  1.018,               0.000694,               0.000694,               0.000694
                     50,                0.70299,                0.49635,                 1.0233,                0.97081,                0.96381,                0.98626,                0.82925,                0.66106,                0.33958,                 1.0176,               0.000496,               0.000496,               0.000496
